intent,query,response
ค่าเทอม,ค่าเทอมกี่บาท,ค่าเทอมคณะวิทยาศาสตร์ทั้งหมด 18000 บาทครับ แต่ในช่วงโควิดค่าเทอมจะลดลง 20% และสามารถดูเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/bachelor_fee.aspx
ค่าเทอม,ค่าเทอมกี่บาท,ค่าเทอมตกเทอมละ 18000 บาทครับ แต่ในช่วงโควิดค่าเทอมจะลดลง 20% สามารถดูเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/bachelor_fee.aspx
ค่าเทอม,ค่าเทอมกี่บาท,
ค่าเทอม,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด,
ค่าเทอม,ค่าเทอมเท่าไหร่ครับ ,
ค่าเทอม,ค่าเทอมเท่าไหร่,
ค่าเทอม,ค่าเทอมเท่าไหร่,
ค่าเทอม,ค่าเทอมเท่าไหร่,
ค่าเทอม,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ,
ค่าเทอม,ค่าเทอมเทอมละกี่บาทคะ,
ค่าเทอม,ค่าเทอม เทอมละเท่าไหร่ครับ,
ค่าเทอม,ค่าหอราคาเท่าไหร่ครับ,
